Node_1	Node_2	diff_freq
Cluster_1
Cluster_1	Cluster_2	0.7332322977107218
Cluster_1	Cluster_3	0.7684804759953632
Cluster_1	Cluster_4	0.7807915933096287
Cluster_1	Cluster_5	0.7068901836727092
Cluster_1	Cluster_6	0.7327634708803039
Cluster_1	Cluster_7	0.6319763234970951
Cluster_1	Cluster_8	0.6908969656552184
Cluster_1	Cluster_9	0.6324209161390869
Cluster_1	Cluster_10	0.6198611740028193
Cluster_1	Cluster_11	0.6477593622878031
Cluster_1	Cluster_12	0.6053007649775886
Cluster_1	Cluster_13	0.6052017339113037
Cluster_1	Cluster_14	0.5967423566192469
Cluster_1	Cluster_15	0.6033000980886256
Cluster_1	Cluster_16	0.5523942405805674
Cluster_1	Cluster_17	0.5399456466047977
Cluster_1	Cluster_18	0.44848282760920305
Cluster_1	Cluster_19	0.434700455707458
Cluster_1	Cluster_20	0.39702122929865513
Cluster_1	Cluster_21	0.28030354368160104
Cluster_1	Cluster_22	0.24930532399688785
Cluster_1	Cluster_23	0.1782695323444887
Cluster_1	Cluster_24	0.21094709153088417
Cluster_1	Cluster_25	0.2215182838724019
Cluster_1	Cluster_26	0.1642648641217478
Cluster_1	Cluster_27	0.19984439257530287
Cluster_1	Cluster_28	0.1930643547849283
Cluster_1	Cluster_29	0.19258341086029723
Cluster_1	Cluster_30	0.18684005779704346
Cluster_1	Cluster_31	0.18650661331554963
Cluster_1	Cluster_32	0.17746726103257687
Cluster_1	Cluster_33	0.1612396295998771
Cluster_1	Cluster_35	0.14749360898077138
Cluster_1	Cluster_36	0.13126597754807157
Cluster_1	Cluster_37	0.13726797821496053
Cluster_1	Cluster_38	0.09314215849727688
Cluster_1	Cluster_39	0.046773330006368206
Cluster_1	Cluster_40	0.09314215849727688
Cluster_1	Cluster_41	0.1266967858734428
Cluster_1	Cluster_42	0.11948427253528954
Cluster_1	Cluster_43	0.11514949427586973
Cluster_1	Cluster_44	0.07212513338153244
Cluster_1	Cluster_45	0.09892186284316995
Cluster_1	Cluster_46	0.09592086250972547
Cluster_1	Cluster_47	0.08909235634249849
Cluster_1	Cluster_48	0.09492052906524397
Cluster_1	Cluster_49	0.09492052906524397
Cluster_1	Cluster_50	0.09458708458375013
Cluster_1	Cluster_51	0.09646448621800209
Cluster_1	Cluster_52	0.08730186868031829
Cluster_1	Cluster_53	0.09568644909451648
Cluster_1	Cluster_54	0.08447260197843726
Cluster_1	Cluster_55	0.09503167722574192
Cluster_1	Cluster_56	0.09125263976881183
Cluster_1	Cluster_57	0.09180838057130154
Cluster_1	Cluster_58	0.09380904746026453
Cluster_1	Cluster_59	0.09201855979808433
Cluster_1	Cluster_60	0.09201855979808433
Cluster_1	Cluster_61	0.09336445481827275
Cluster_1	Cluster_62	0.09336445481827275
Cluster_1	Cluster_63	0.09325330665777481
Cluster_1	Cluster_64	0.08958541736134266
Cluster_1	Cluster_65	0.08825163943536735
Cluster_1	Cluster_66	0.0881404912748694
Cluster_1	Cluster_68	0.082793262476755
Cluster_1	Cluster_69	0.08402800933644548
Cluster_1	Cluster_71	0.05735245081693898
Cluster_1	Cluster_72	0.07643358313994601
Cluster_1	Cluster_73	0.06738211376276015
Cluster_1	Cluster_74	0.0569078581749472
Cluster_1	Cluster_75	0.05412915416249861
Cluster_1	Cluster_76	0.0774702678670668
Cluster_1	Cluster_77	0.05646326553295543
Cluster_1	Cluster_78	0.05535178392797599
Cluster_1	Cluster_79	0.024674891630543514
Cluster_1	Cluster_80	0.054462598643992444
Cluster_1	Cluster_81	0.054018006002000664
Cluster_1	Cluster_82	0.06724463710125597
Cluster_1	Cluster_83	0.05412915416249861
Cluster_1	Cluster_84	0.06702234078026009
Cluster_1	Cluster_85	0.05323996887851506
Cluster_1	Cluster_86	0.05146159831054796
Cluster_1	Cluster_87	0.06935645215071691
Cluster_1	Cluster_88	0.05346226519951095
Cluster_1	Cluster_89	0.05301767255751917
Cluster_1	Cluster_90	0.06880071134822718
Cluster_1	Cluster_91	0.06868956318772924
Cluster_1	Cluster_92	0.053351117039013005
Cluster_1	Cluster_93	0.053351117039013005
Cluster_1	Cluster_94	0.06802267422474158
Cluster_1	Cluster_97	0.07024563743470046
Cluster_1	Cluster_98	0.048349449816605536
Cluster_1	Cluster_99	0.047793709014115816
Cluster_1	Cluster_101	0.07013448927420252
Cluster_1	Cluster_102	0.04434811603867956
Cluster_1	Cluster_103	0.06991219295320662
Cluster_1	Cluster_104	0.047793709014115816
Cluster_1	Cluster_105	0.04668222740913638
Cluster_1	Cluster_106	0.04287895576378009
Cluster_1	Cluster_107	0.04345893075469601
Cluster_1	Cluster_108	0.04112481938423919
Cluster_1	Cluster_109	0.06713348894075803
Cluster_1	Cluster_110	0.05846393242191842
Cluster_1	Cluster_111	0.04145826386573302
Cluster_1	Cluster_112	0.06202067355785262
Cluster_1	Cluster_113	0.038568411692786485
Cluster_1	Cluster_114	0.041791708347226855
Cluster_1	Cluster_115	0.03612315216183172
Cluster_1	Cluster_116	0.03756807824830499
Cluster_1	Cluster_117	0.04045793042125153
Cluster_1	Cluster_118	0.059908858508391685
Cluster_1	Cluster_119	0.036901189285317326
Cluster_1	Cluster_120	0.0409025230632433
Cluster_1	Cluster_121	0.03756807824830499
Cluster_1	Cluster_122	0.037456930087807046
Cluster_1	Cluster_123	0.03601200400133378
Cluster_1	Cluster_124	0.03645659664332555
Cluster_1	Cluster_125	0.05456162971027728
Cluster_1	Cluster_126	0.03567855951983995
Cluster_1	Cluster_127	0.05133833305583691
Cluster_1	Cluster_129	0.0497943759030788
Cluster_1	Cluster_130	0.04323663443370012
Cluster_1	Cluster_131	0.03567855951983995
Cluster_1	Cluster_132	0.035567411359342
Cluster_1	Cluster_135	0.034678226075358455
Cluster_1	Cluster_136	0.034789374235856395
Cluster_1	Cluster_137	0.03490052239635434
Cluster_1	Cluster_138	0.03667889296432144
Cluster_1	Cluster_139	0.046904523730132264
Cluster_1	Cluster_140	0.04155729493201787
Cluster_1	Cluster_141	0.04155729493201787
Cluster_1	Cluster_143	0.034678226075358455
Cluster_1	Cluster_144	0.04244648021600141
Cluster_1	Cluster_145	0.04079137490274536
Cluster_1	Cluster_146	0.0355552942651289
Cluster_1	Cluster_147	0.037456930087807046
Cluster_1	Cluster_148	0.028231632766477714
Cluster_1	Cluster_149	0.024341447149049684
Cluster_1	Cluster_150	0.02756474380349005
Cluster_1	Cluster_151	0.02656441035900856
Cluster_1	Cluster_152	0.03612315216183172
Cluster_1	Cluster_154	0.03445592975436257
Cluster_1	Cluster_155	0.02545292875402912
Cluster_1	Cluster_156	0.03223296654440369
Cluster_1	Cluster_157	0.02356341002556408
Cluster_1	Cluster_158	0.035567411359342
Cluster_1	Cluster_160	0.0012226297654773814
Cluster_1	Cluster_161	0.01656107591419362
Cluster_1	Cluster_162	0.030232299655440702
Cluster_1	Cluster_163	0.028565077247971547
Cluster_1	Cluster_164	0.02778704012448594
Cluster_1	Cluster_167	0.029454262531955096
Cluster_1	Cluster_168	0.028342780926975657
Cluster_1	Cluster_171	0.028342780926975657
Cluster_1	Cluster_172	0.020895854173613428
