genome	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
GCA_004014735.1	protein_ordered	QAA00981.1	Clu3-DUF2787	712	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_1	1	1	0.833	5.000	1	Clu3-DUF2787	mandatory	142	3.1e-47	158.200	0.929	0.915	8	137		
GCA_004014735.1	protein_ordered	QAA00982.1	Clu14-Hyp2	713	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_1	1	1	0.833	5.000	1	Clu14-Hyp2	mandatory	143	7.4e-41	137.600	0.743	0.895	14	141		
GCA_004014735.1	protein_ordered	QAA00983.1	Clu4-Hyp1	714	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_1	1	1	0.833	5.000	1	Clu4-Hyp1	mandatory	117	1.1e-16	58.700	0.930	0.915	8	114		
GCA_004014735.1	protein_ordered	QAA00984.1	Clu11-IntP2	715	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_1	1	1	0.833	5.000	1	Clu11-IntP2	mandatory	423	8.9e-57	190.900	0.930	0.849	60	418		
GCA_004014735.1	protein_ordered	QAA00986.1	Clu2-IntSXT	717	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_1	1	1	0.833	5.000	1	Clu2-IntSXT	mandatory	395	1.6e-136	453.600	0.990	0.967	5	386		
GCA_004014735.1	protein_ordered	QAA02101.1	Clu2-IntSXT	1874	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_2	1	1	1.000	6.000	1	Clu2-IntSXT	mandatory	399	2e-221	733.100	0.997	0.977	1	390		
GCA_004014735.1	protein_ordered	QAA04603.1	Clu4-Hyp1	1876	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_2	1	1	1.000	6.000	1	Clu4-Hyp1	mandatory	104	4.8e-35	118.100	0.836	0.962	3	102		
GCA_004014735.1	protein_ordered	QAA02103.1	Clu14-Hyp2	1877	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_2	1	1	1.000	6.000	1	Clu14-Hyp2	mandatory	177	2.7e-99	327.900	0.994	0.989	1	175		
GCA_004014735.1	protein_ordered	QAA02104.1	Clu3-DUF2787	1878	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_2	1	1	1.000	6.000	1	Clu3-DUF2787	mandatory	144	9.3e-63	208.500	0.986	0.958	4	141		
GCA_004014735.1	protein_ordered	QAA02105.1	Clu1-GpiPolB	1879	model_pipolin_ent/pipolin_ent	protein_ordered_pipolin_ent_2	1	1	1.000	6.000	1	Clu1-GpiPolB	mandatory	866	0.0	1199.100	0.912	0.947	45	864		
