genome	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
GCA_002953515.1	protein_ordered	AVF75861.1	Clu1-GpiPolB	1927	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	1	Clu1-GpiPolB	mandatory	964	0.0	1093.500	0.979	0.972	18	954		
GCA_002953515.1	protein_ordered	AVF75867.1	Clu3-DUF2787	1933	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	1	Clu3-DUF2787	mandatory	146	1.6e-60	201.300	0.986	0.959	4	143		
GCA_002953515.1	protein_ordered	AVF75868.1	Clu29-Hyp2	1934	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	1	Clu29-Hyp2	mandatory	142	4.3e-50	167.800	0.802	0.937	8	140		
GCA_002953515.1	protein_ordered	AVF75869.1	Clu4-Hyp1	1935	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	1	Clu4-Hyp1	mandatory	127	4.2e-45	150.600	0.992	1.000	1	127		
GCA_002953515.1	protein_ordered	AVF75870.1	Clu32-IntSXT	1936	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	1	Clu32-IntSXT	mandatory	411	6.5e-192	635.900	0.990	0.968	3	400		
GCA_022343105.1	protein_ordered	ULF75117.1	Clu32-IntSXT	3842	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu32-IntSXT	mandatory	396	4.6e-136	451.900	0.983	0.997	1	395		
GCA_022343105.1	protein_ordered	ULF75118.1	Clu4-Hyp1	3843	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu4-Hyp1	mandatory	129	1.9e-43	145.200	1.000	0.992	1	128		
GCA_022343105.1	protein_ordered	ULF75119.1	Clu29-Hyp2	3844	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu29-Hyp2	mandatory	185	7.3e-51	170.200	0.994	0.984	1	182		
GCA_022343105.1	protein_ordered	ULF75120.1	Clu3-DUF2787	3845	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu3-DUF2787	mandatory	140	2.6e-45	151.900	0.986	0.986	2	139		
GCA_015767675.1	protein_ordered	QPL53194.1	Clu3-DUF2787	2731	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu3-DUF2787	mandatory	143	8.2e-65	215.000	1.000	1.000	1	143		
GCA_015767675.1	protein_ordered	QPL53195.1	Clu29-Hyp2	2732	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu29-Hyp2	mandatory	166	1.5e-81	270.100	0.988	0.994	1	165		
GCA_015767675.1	protein_ordered	QPL53196.1	Clu4-Hyp1	2733	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu4-Hyp1	mandatory	127	7.1e-60	198.300	1.000	1.000	1	127		
GCA_015767675.1	protein_ordered	QPL53197.1	Clu32-IntSXT	2734	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu32-IntSXT	mandatory	411	2.3e-186	617.500	0.998	0.998	1	410		
GCA_015767675.1	protein_ordered	QPL53203.1	Clu1-GpiPolB	2741	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu1-GpiPolB	mandatory	954	0.0	1156.900	0.984	0.972	27	953		
GCA_015767675.1	protein_ordered	QPL53213.1	Clu3-DUF2787	2752	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu3-DUF2787	mandatory	143	6.4e-64	212.100	1.000	1.000	1	143		
GCA_015767675.1	protein_ordered	QPL53214.1	Clu29-Hyp2	2753	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu29-Hyp2	mandatory	166	2.6e-82	272.600	0.988	0.994	1	165		
GCA_015767675.1	protein_ordered	QPL53215.1	Clu4-Hyp1	2754	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu4-Hyp1	mandatory	127	1.4e-58	194.100	1.000	1.000	1	127		
GCA_015767675.1	protein_ordered	QPL53217.1	Clu32-IntSXT	2756	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.833	5.000	2	Clu32-IntSXT	mandatory	427	4.9e-187	619.700	0.998	0.960	1	410		
GCA_022343185.1	protein_ordered	ULF91659.1	Clu32-IntSXT	24	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu32-IntSXT	mandatory	409	7.3e-190	629.100	0.993	0.976	3	401		
GCA_022343185.1	protein_ordered	ULF91660.1	Clu4-Hyp1	25	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu4-Hyp1	mandatory	127	1.4e-47	158.600	0.992	1.000	1	127		
GCA_022343185.1	protein_ordered	ULF91661.1	Clu29-Hyp2	26	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu29-Hyp2	mandatory	142	2.8e-50	168.400	0.820	0.958	5	140		
GCA_022343185.1	protein_ordered	ULF91666.1	Clu1-GpiPolB	32	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	0.667	4.000	1	Clu1-GpiPolB	mandatory	964	0.0	1108.500	0.979	0.972	18	954		
GCA_023205935.1	protein_ordered	UPR15421.1	Clu1-GpiPolB	2697	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu1-GpiPolB	mandatory	911	0.0	1152.000	0.955	0.951	45	910		
GCA_023205935.1	protein_ordered	UPR17239.1	Clu53-IntP2	2700	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu53-IntP2	mandatory	378	9.5e-217	717.200	0.982	1.000	1	378		
GCA_023205935.1	protein_ordered	UPR15428.1	Clu3-DUF2787	2705	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu3-DUF2787	mandatory	143	2.1e-63	210.600	1.000	1.000	1	143		
GCA_023205935.1	protein_ordered	UPR15429.1	Clu29-Hyp2	2706	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu29-Hyp2	mandatory	166	4.1e-81	268.800	0.988	0.994	1	165		
GCA_023205935.1	protein_ordered	UPR15430.1	Clu4-Hyp1	2707	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu4-Hyp1	mandatory	127	4.9e-59	195.700	1.000	1.000	1	127		
GCA_023205935.1	protein_ordered	UPR15431.1	Clu32-IntSXT	2708	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu32-IntSXT	mandatory	412	1.5e-185	614.900	0.998	0.998	1	411		
GCA_023205915.1	protein_ordered	UPR11657.1	Clu32-IntSXT	406	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu32-IntSXT	mandatory	412	7.4e-185	612.600	0.995	0.995	1	410		
GCA_023205915.1	protein_ordered	UPR11658.1	Clu4-Hyp1	407	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu4-Hyp1	mandatory	127	1.2e-57	191.100	0.992	0.992	1	126		
GCA_023205915.1	protein_ordered	UPR11659.1	Clu29-Hyp2	408	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu29-Hyp2	mandatory	166	3.8e-78	259.000	0.988	0.994	1	165		
GCA_023205915.1	protein_ordered	UPR11660.1	Clu3-DUF2787	409	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu3-DUF2787	mandatory	143	2.6e-65	216.600	1.000	1.000	1	143		
GCA_023205915.1	protein_ordered	UPR12647.1	Clu53-IntP2	415	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu53-IntP2	mandatory	378	4.9e-218	721.400	0.979	0.997	1	377		
GCA_023205915.1	protein_ordered	UPR11668.1	Clu1-GpiPolB	418	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu1-GpiPolB	mandatory	897	0.0	1218.600	0.956	0.950	44	895		
GCA_025757485.1	protein_ordered	UYI46714.1	Clu1-GpiPolB	2465	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu1-GpiPolB	mandatory	897	0.0	1218.800	0.995	0.997	2	895		
GCA_025757485.1	protein_ordered	UYI46718.1	Clu53-IntP2	2469	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu53-IntP2	mandatory	378	1.3e-217	720.000	0.979	0.997	1	377		
GCA_025757485.1	protein_ordered	UYI46726.1	Clu3-DUF2787	2477	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu3-DUF2787	mandatory	143	3e-65	216.500	1.000	1.000	1	143		
GCA_025757485.1	protein_ordered	UYI46727.1	Clu29-Hyp2	2478	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu29-Hyp2	mandatory	150	7e-74	245.100	0.856	0.953	7	149		
GCA_025757485.1	protein_ordered	UYI46729.1	Clu4-Hyp1	2480	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu4-Hyp1	mandatory	131	2.2e-58	193.500	0.992	0.962	1	126		
GCA_025757485.1	protein_ordered	UYI46730.1	Clu32-IntSXT	2481	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu32-IntSXT	mandatory	411	1.4e-187	621.500	0.998	0.998	1	410		
GCA_021730005.1	protein_ordered	UJX00369.1	Clu1-GpiPolB	4259	model_pipolin_vib/pipolin_vib	protein_ordered_pipolin_vib_1	1	1	1.000	6.000	1	Clu1-GpiPolB	mandatory	897	0.0	1220.700	0.991	0.992	6	895		
